ID	occurrenceId	measurementType	measurementValue	measurementUnit
501	REMACOPSE-2020-11-001	ACC	58	centimetros
502	REMACOPSE-2020-11-002	ACC	65	centimetros
503	REMACOPSE-2020-11-003	ACC	65	centimetros
505	REMACOPSE-2020-11-005	ACC	61	centimetros
506	REMACOPSE-2020-11-006	ACC	62	centimetros
507	REMACOPSE-2020-11-007	ACC	60	centimetros
508	REMACOPSE-2020-ND-001	ACC	65	centimetros
509	REMACOPSE-2020-12-001	ACC	76	centimetros
511	REMACOPSE-2020-12-003	ACC	60	centimetros
512	REMACOPSE-2020-12-004	ACC	56	centimetros
513	REMACOPSE-2020-12-005	ACC	68	centimetros
514	REMACOPSE-2020-12-006	ACC	56	centimetros
515	REMACOPSE-2020-12-007	ACC	44	centimetros
516	REMACOPSE-2020-12-008	ACC	63	centimetros
517	REMACOPSE-2020-12-009	ACC	73	centimetros
518	REMACOPSE-2020-12-010	ACC	49	centimetros
519	REMACOPSE-2019-01-001	LT	230	centimetros
520	REMACOPSE-2019-01-002	LT	215	centimetros
521	REMACOPSE-2019-01-003	LT	189	centimetros
522	REMACOPSE-2019-02-001	LT	245	centimetros
523	REMACOPSE-2019-04-001	LT	275	centimetros
524	REMACOPSE-2019-05-001	LT	244	centimetros
525	REMACOPSE-2019-05-002	LT	235	centimetros
526	REMACOPSE-2019-05-003	LT	309	centimetros
527	REMACOPSE-2019-07-001	LT	170	centimetros
528	REMACOPSE-2019-08-001	LT	282	centimetros
529	REMACOPSE-2019-09-001	LT	270	centimetros
530	REMACOPSE-2019-01-001	LC	200	centimetros
531	REMACOPSE-2019-01-002	LC	165	centimetros
533	REMACOPSE-2019-02-001	LC	203	centimetros
534	REMACOPSE-2019-04-001	LC	225	centimetros
535	REMACOPSE-2019-05-001	LC	204	centimetros
536	REMACOPSE-2019-05-002	LC	210	centimetros
537	REMACOPSE-2019-05-003	LC	251	centimetros
538	REMACOPSE-2019-07-001	LC	130	centimetros
539	REMACOPSE-2019-08-001	LC	234	centimetros
540	REMACOPSE-2019-09-001	LC	200	centimetros
541	REMACOPSE-2019-01-004	LCC	67	centimetros
542	REMACOPSE-2019-01-005	LCC	60	centimetros
543	REMACOPSE-2019-01-006	LCC	72	centimetros
544	REMACOPSE-2019-01-007	LCC	58	centimetros
545	REMACOPSE-2019-01-008	LCC	73	centimetros
546	REMACOPSE-2019-01-009	LCC	45	centimetros
547	REMACOPSE-2019-01-010	LCC	60	centimetros
548	REMACOPSE-2019-02-002	LCC	61	centimetros
549	REMACOPSE-2019-02-003	LCC	53	centimetros
550	REMACOPSE-2019-02-004	LCC	49	centimetros
551	REMACOPSE-2019-02-005	LCC	62	centimetros
552	REMACOPSE-2019-02-006	LCC	60	centimetros
553	REMACOPSE-2019-02-007	LCC	60	centimetros
554	REMACOPSE-2019-02-008	LCC	56	centimetros
555	REMACOPSE-2019-03-001	LCC	51	centimetros
557	REMACOPSE-2019-03-003	LCC	47.5	centimetros
558	REMACOPSE-2019-03-004	LCC	64	centimetros
559	REMACOPSE-2019-03-005	LCC	47	centimetros
560	REMACOPSE-2019-03-006	LCC	68	centimetros
561	REMACOPSE-2019-03-007	LCC	68	centimetros
562	REMACOPSE-2019-03-008	LCC	57	centimetros
563	REMACOPSE-2019-03-009	LCC	52.5	centimetros
564	REMACOPSE-2019-03-010	LCC	64	centimetros
565	REMACOPSE-2019-04-002	LCC	52	centimetros
566	REMACOPSE-2019-04-003	LCC	113	centimetros
568	REMACOPSE-2019-04-005	LCC	66	centimetros
569	REMACOPSE-2019-04-006	LCC	65	centimetros
570	REMACOPSE-2019-04-007	LCC	65	centimetros
571	REMACOPSE-2019-04-008	LCC	65	centimetros
572	REMACOPSE-2019-04-009	LCC	54	centimetros
573	REMACOPSE-2019-04-010	LCC	71	centimetros
574	REMACOPSE-2019-04-011	LCC	67	centimetros
575	REMACOPSE-2019-04-012	LCC	70	centimetros
576	REMACOPSE-2019-04-013	LCC	54	centimetros
577	REMACOPSE-2019-05-004	LCC	60	centimetros
578	REMACOPSE-2019-05-005	LCC	75	centimetros
579	REMACOPSE-2019-04-014	LCC	74	centimetros
580	REMACOPSE-2019-06-001	LCC	26	centimetros
581	REMACOPSE-2019-06-002	LCC	32	centimetros
582	REMACOPSE-2019-07-002	LCC	54	centimetros
583	REMACOPSE-2019-07-003	LCC	45	centimetros
584	REMACOPSE-2019-07-004	LCC	45	centimetros
585	REMACOPSE-2019-07-005	LCC	54	centimetros
586	REMACOPSE-2019-08-002	LCC	80	centimetros
587	REMACOPSE-2019-09-002	LCC	54	centimetros
588	REMACOPSE-2019-09-003	LCC	62	centimetros
589	REMACOPSE-2019-09-004	LCC	31	centimetros
590	REMACOPSE-2019-09-005	LCC	28	centimetros
591	REMACOPSE-2019-09-006	LCC	78	centimetros
593	REMACOPSE-2019-09-008	LCC	77	centimetros
594	REMACOPSE-2019-09-009	LCC	54	centimetros
595	REMACOPSE-2019-09-010	LCC	52	centimetros
596	REMACOPSE-2019-09-011	LCC	59	centimetros
597	REMACOPSE-2019-09-012	LCC	55	centimetros
598	REMACOPSE-2019-09-013	LCC	59	centimetros
599	REMACOPSE-2019-09-014	LCC	63	centimetros
600	REMACOPSE-2019-09-015	LCC	75	centimetros
601	REMACOPSE-2019-09-016	LCC	75	centimetros
602	REMACOPSE-2019-01-004	ACC	61	centimetros
603	REMACOPSE-2019-01-005	ACC	50	centimetros
604	REMACOPSE-2019-01-006	ACC	64	centimetros
605	REMACOPSE-2019-01-007	ACC	61	centimetros
606	REMACOPSE-2019-01-008	ACC	67	centimetros
607	REMACOPSE-2019-01-009	ACC	42	centimetros
608	REMACOPSE-2019-01-010	ACC	67	centimetros
609	REMACOPSE-2019-02-002	ACC	62	centimetros
610	REMACOPSE-2019-02-003	ACC	54	centimetros
611	REMACOPSE-2019-02-004	ACC	46	centimetros
612	REMACOPSE-2019-02-005	ACC	60	centimetros
613	REMACOPSE-2019-02-006	ACC	66	centimetros
614	REMACOPSE-2019-02-007	ACC	61	centimetros
615	REMACOPSE-2019-02-008	ACC	54	centimetros
616	REMACOPSE-2019-03-001	ACC	52	centimetros
618	REMACOPSE-2019-03-003	ACC	42	centimetros
619	REMACOPSE-2019-03-004	ACC	69	centimetros
620	REMACOPSE-2019-03-005	ACC	39	centimetros
621	REMACOPSE-2019-03-006	ACC	67	centimetros
622	REMACOPSE-2019-03-007	ACC	64	centimetros
623	REMACOPSE-2019-03-008	ACC	63	centimetros
624	REMACOPSE-2019-03-009	ACC	49.5	centimetros
625	REMACOPSE-2019-03-010	ACC	64	centimetros
626	REMACOPSE-2019-04-002	ACC	51	centimetros
627	REMACOPSE-2019-04-003	ACC	83	centimetros
629	REMACOPSE-2019-04-005	ACC	68	centimetros
630	REMACOPSE-2019-04-006	ACC	60	centimetros
631	REMACOPSE-2019-04-007	ACC	60	centimetros
632	REMACOPSE-2019-04-008	ACC	60	centimetros
633	REMACOPSE-2019-04-009	ACC	53	centimetros
634	REMACOPSE-2019-04-010	ACC	70	centimetros
635	REMACOPSE-2019-04-011	ACC	67	centimetros
636	REMACOPSE-2019-04-012	ACC	67	centimetros
637	REMACOPSE-2019-04-013	ACC	69	centimetros
638	REMACOPSE-2019-05-004	ACC	49	centimetros
639	REMACOPSE-2019-05-005	ACC	68	centimetros
640	REMACOPSE-2019-04-014	ACC	72	centimetros
641	REMACOPSE-2019-06-001	ACC	28	centimetros
642	REMACOPSE-2019-06-002	ACC	28	centimetros
643	REMACOPSE-2019-07-002	ACC	52	centimetros
644	REMACOPSE-2019-07-003	ACC	46	centimetros
645	REMACOPSE-2019-07-004	ACC	43	centimetros
646	REMACOPSE-2019-07-005	ACC	55	centimetros
647	REMACOPSE-2019-08-002	ACC	65	centimetros
648	REMACOPSE-2019-09-002	ACC	54	centimetros
649	REMACOPSE-2019-09-003	ACC	64	centimetros
650	REMACOPSE-2019-09-004	ACC	25	centimetros
651	REMACOPSE-2019-09-005	ACC	27	centimetros
652	REMACOPSE-2019-09-006	ACC	76	centimetros
653	REMACOPSE-2019-09-007	ACC	58	centimetros
654	REMACOPSE-2019-09-008	ACC	77	centimetros
655	REMACOPSE-2019-09-009	ACC	52	centimetros
656	REMACOPSE-2019-09-010	ACC	48	centimetros
657	REMACOPSE-2019-09-011	ACC	61	centimetros
658	REMACOPSE-2019-09-012	ACC	54	centimetros
659	REMACOPSE-2019-09-013	ACC	58	centimetros
660	REMACOPSE-2019-09-014	ACC	66	centimetros
661	REMACOPSE-2019-09-015	ACC	76	centimetros
662	REMACOPSE-2019-09-016	ACC	67	centimetros
663	REMACOPSE-2018-01-001	LT	109	centimetros
664	REMACOPSE-2018-01-002	LT	305	centimetros
665	REMACOPSE-2018-02-001	LT	272	centimetros
666	REMACOPSE-2018-03-001	LT	265	centimetros
667	REMACOPSE-2018-03-002	LT	290	centimetros
668	REMACOPSE-2018-04-001	LT	240	centimetros
669	REMACOPSE-2018-07-001	LT	303	centimetros
670	REMACOPSE-2018-07-002	LT	250	centimetros
671	REMACOPSE-2018-09-001	LT	2.72	metros
672	REMACOPSE-2018-09-002	LT	2.65	metros
673	REMACOPSE-2018-11-001	LT	1.5	metros
674	REMACOPSE-2018-11-002	LT	2.7	metros
675	REMACOPSE-2018-12-001	LT	1.87	metros
676	REMACOPSE-2018-12-002	LT	2.32	metros
677	REMACOPSE-2018-12-003	LT	3	metros
678	REMACOPSE-2018-12-004	LT	2.45	metros
679	REMACOPSE-2018-01-001	LC	65	centimetros
680	REMACOPSE-2018-02-001	LC	259	centimetros
681	REMACOPSE-2018-03-001	LC	226	centimetros
682	REMACOPSE-2018-03-002	LC	247	centimetros
683	REMACOPSE-2018-04-001	LC	50	centimetros
684	REMACOPSE-2018-07-001	LC	217	centimetros
685	REMACOPSE-2018-07-002	LC	194	centimetros
686	REMACOPSE-2018-09-001	LC	2.3	metros
687	REMACOPSE-2018-09-002	LC	2.1	metros
688	REMACOPSE-2018-11-001	LC	0.85	metros
689	REMACOPSE-2018-11-002	LC	2.24	metros
690	REMACOPSE-2018-12-001	LC	1.65	metros
691	REMACOPSE-2018-12-002	LC	2.1	metros
692	REMACOPSE-2018-12-003	LC	2.56	metros
693	REMACOPSE-2018-12-004	LC	2.25	metros
694	REMACOPSE-2018-02-002	LCC	63	centimetros
695	REMACOPSE-2018-01-003	LCC	70	centimetros
696	REMACOPSE-2018-01-004	LCC	64	centimetros
697	REMACOPSE-2018-01-005	LCC	76	centimetros
698	REMACOPSE-2018-01-006	LCC	58	centimetros
699	REMACOPSE-2018-01-007	LCC	80	centimetros
700	REMACOPSE-2018-02-003	LCC	58	centimetros
701	REMACOPSE-2018-02-004	LCC	46	centimetros
702	REMACOPSE-2018-02-005	LCC	52	centimetros
703	REMACOPSE-2018-02-006	LCC	77	centimetros
704	REMACOPSE-2018-02-007	LCC	45	centimetros
705	REMACOPSE-2018-02-008	LCC	70	centimetros
706	REMACOPSE-2018-03-003	LCC	66	centimetros
707	REMACOPSE-2018-03-004	LCC	63	centimetros
708	REMACOPSE-2018-03-005	LCC	62	centimetros
709	REMACOPSE-2018-03-006	LCC	52	centimetros
710	REMACOPSE-2018-03-007	LCC	58	centimetros
711	REMACOPSE-2018-03-008	LCC	83	centimetros
712	REMACOPSE-2018-03-009	LCC	38	centimetros
713	REMACOPSE-2018-03-010	LCC	70	centimetros
714	REMACOPSE-2018-03-011	LCC	59	centimetros
715	REMACOPSE-2018-03-012	LCC	66.1	centimetros
716	REMACOPSE-2018-04-002	LCC	62	centimetros
717	REMACOPSE-2018-04-003	LCC	70	centimetros
718	REMACOPSE-2018-05-001	LCC	63	centimetros
719	REMACOPSE-2018-05-002	LCC	61	centimetros
720	REMACOPSE-2018-05-003	LCC	72	centimetros
721	REMACOPSE-2018-06-001	LCC	67	centimetros
722	REMACOPSE-2018-06-002	LCC	50	centimetros
723	REMACOPSE-2018-06-003	LCC	49	centimetros
724	REMACOPSE-2018-06-004	LCC	74	centimetros
725	REMACOPSE-2018-06-005	LCC	69	centimetros
726	REMACOPSE-2018-06-006	LCC	62	centimetros
727	REMACOPSE-2018-06-007	LCC	64	centimetros
728	REMACOPSE-2018-06-008	LCC	63	centimetros
729	REMACOPSE-2018-06-009	LCC	72	centimetros
730	REMACOPSE-2018-06-010	LCC	64	centimetros
731	REMACOPSE-2018-06-011	LCC	64	centimetros
732	REMACOPSE-2018-06-012	LCC	56	centimetros
733	REMACOPSE-2018-06-013	LCC	30	centimetros
734	REMACOPSE-2018-07-003	LCC	61	centimetros
735	REMACOPSE-2018-07-004	LCC	58	centimetros
736	REMACOPSE-2018-07-005	LCC	56	centimetros
737	REMACOPSE-2018-07-006	LCC	61	centimetros
738	REMACOPSE-2018-07-007	LCC	67	centimetros
739	REMACOPSE-2018-07-008	LCC	67	centimetros
740	REMACOPSE-2018-07-009	LCC	49	centimetros
741	REMACOPSE-2018-07-010	LCC	70	centimetros
742	REMACOPSE-2018-07-011	LCC	61	centimetros
743	REMACOPSE-2018-07-012	LCC	62	centimetros
744	REMACOPSE-2018-07-013	LCC	55	centimetros
745	REMACOPSE-2018-07-014	LCC	55	centimetros
746	REMACOPSE-2018-07-015	LCC	60	centimetros
747	REMACOPSE-2018-07-016	LCC	55	centimetros
748	REMACOPSE-2018-07-017	LCC	65	centimetros
749	REMACOPSE-2018-07-018	LCC	70	centimetros
750	REMACOPSE-2018-07-019	LCC	67	centimetros
751	REMACOPSE-2018-07-020	LCC	47	centimetros
752	REMACOPSE-2018-08-001	LCC	58	centimetros
753	REMACOPSE-2018-08-002	LCC	61	centimetros
754	REMACOPSE-2018-08-003	LCC	54	centimetros
755	REMACOPSE-2018-07-021	LCC	62	centimetros
756	REMACOPSE-2018-08-004	LCC	54	centimetros
757	REMACOPSE-2018-08-005	LCC	55	centimetros
758	REMACOPSE-2018-08-006	LCC	56	centimetros
759	REMACOPSE-2018-08-007	LCC	68	centimetros
760	REMACOPSE-2018-08-009	LCC	63	centimetros
761	REMACOPSE-2018-08-010	LCC	58	centimetros
762	REMACOPSE-2018-08-011	LCC	60	centimetros
763	REMACOPSE-2018-08-012	LCC	60	centimetros
764	REMACOPSE-2018-08-013	LCC	57	centimetros
765	REMACOPSE-2018-09-003	LCC	61	centimetros
766	REMACOPSE-2018-09-004	LCC	56	centimetros
767	REMACOPSE-2018-09-005	LCC	62	centimetros
768	REMACOPSE-2018-09-006	LCC	59	centimetros
769	REMACOPSE-2018-09-007	LCC	51	centimetros
770	REMACOPSE-2018-09-008	LCC	54	centimetros
771	REMACOPSE-2018-09-009	LCC	62	centimetros
772	REMACOPSE-2018-09-010	LCC	60	centimetros
773	REMACOPSE-2018-09-011	LCC	50	centimetros
774	REMACOPSE-2018-09-012	LCC	60	centimetros
775	REMACOPSE-2018-09-013	LCC	58	centimetros
776	REMACOPSE-2018-10-001	LCC	70	centimetros
777	REMACOPSE-2018-10-002	LCC	61	centimetros
778	REMACOPSE-2018-10-003	LCC	60	centimetros
779	REMACOPSE-2018-10-004	LCC	65	centimetros
780	REMACOPSE-2018-10-005	LCC	60	centimetros
781	REMACOPSE-2018-10-006	LCC	61	centimetros
782	REMACOPSE-2018-10-007	LCC	60	centimetros
783	REMACOPSE-2018-10-008	LCC	60	centimetros
784	REMACOPSE-2018-10-009	LCC	60	centimetros
785	REMACOPSE-2018-10-010	LCC	65	centimetros
786	REMACOPSE-2018-11-003	LCC	67	centimetros
787	REMACOPSE-2018-11-004	LCC	52	centimetros
788	REMACOPSE-2018-11-005	LCC	60	centimetros
789	REMACOPSE-2018-11-006	LCC	24	centimetros
790	REMACOPSE-2018-11-007	LCC	59	centimetros
791	REMACOPSE-2018-11-008	LCC	69	centimetros
792	REMACOPSE-2018-11-009	LCC	24	centimetros
793	REMACOPSE-2018-11-010	LCC	64	centimetros
794	REMACOPSE-2018-11-011	LCC	65	centimetros
795	REMACOPSE-2018-11-012	LCC	64	centimetros
796	REMACOPSE-2018-11-013	LCC	59	centimetros
797	REMACOPSE-2018-11-014	LCC	72	centimetros
798	REMACOPSE-2018-11-015	LCC	66	centimetros
799	REMACOPSE-2018-12-005	LCC	52	centimetros
800	REMACOPSE-2018-12-006	LCC	53	centimetros
801	REMACOPSE-2018-11-016	LCC	60	centimetros
802	REMACOPSE-2018-12-007	LCC	74	centimetros
803	REMACOPSE-2018-12-008	LCC	40	centimetros
804	REMACOPSE-2018-12-009	LCC	60	centimetros
805	REMACOPSE-2018-12-010	LCC	46	centimetros
806	REMACOPSE-2018-12-011	LCC	65	centimetros
807	REMACOPSE-2018-12-012	LCC	49	centimetros
808	REMACOPSE-2018-12-013	LCC	64	centimetros
809	REMACOPSE-2018-12-014	LCC	46	centimetros
810	REMACOPSE-2018-12-015	LCC	67	centimetros
811	REMACOPSE-2018-12-016	LCC	68	centimetros
812	REMACOPSE-2018-11-017	LCC	66	centimetros
813	REMACOPSE-2018-02-002	ACC	69	centimetros
814	REMACOPSE-2018-01-003	ACC	75	centimetros
815	REMACOPSE-2018-01-004	ACC	68	centimetros
816	REMACOPSE-2018-01-005	ACC	70	centimetros
817	REMACOPSE-2018-01-006	ACC	58	centimetros
818	REMACOPSE-2018-01-007	ACC	74	centimetros
819	REMACOPSE-2018-02-003	ACC	47	centimetros
820	REMACOPSE-2018-02-004	ACC	39	centimetros
821	REMACOPSE-2018-02-005	ACC	55	centimetros
822	REMACOPSE-2018-02-006	ACC	80	centimetros
823	REMACOPSE-2018-02-007	ACC	38	centimetros
824	REMACOPSE-2018-02-008	ACC	72	centimetros
825	REMACOPSE-2018-03-003	ACC	70	centimetros
826	REMACOPSE-2018-03-004	ACC	67	centimetros
827	REMACOPSE-2018-03-005	ACC	63	centimetros
828	REMACOPSE-2018-03-006	ACC	56	centimetros
829	REMACOPSE-2018-03-007	ACC	65	centimetros
830	REMACOPSE-2018-03-008	ACC	75	centimetros
831	REMACOPSE-2018-03-009	ACC	41	centimetros
832	REMACOPSE-2018-03-010	ACC	65	centimetros
833	REMACOPSE-2018-03-011	ACC	57.5	centimetros
834	REMACOPSE-2018-03-012	ACC	63.5	centimetros
835	REMACOPSE-2018-04-002	ACC	65	centimetros
836	REMACOPSE-2018-04-003	ACC	61.5	centimetros
837	REMACOPSE-2018-05-001	ACC	59	centimetros
838	REMACOPSE-2018-05-002	ACC	62	centimetros
839	REMACOPSE-2018-05-003	ACC	62	centimetros
840	REMACOPSE-2018-06-001	ACC	72	centimetros
841	REMACOPSE-2018-06-002	ACC	43	centimetros
842	REMACOPSE-2018-06-003	ACC	48	centimetros
843	REMACOPSE-2018-06-004	ACC	71	centimetros
844	REMACOPSE-2018-06-005	ACC	70	centimetros
845	REMACOPSE-2018-06-006	ACC	63	centimetros
846	REMACOPSE-2018-06-007	ACC	63	centimetros
847	REMACOPSE-2018-06-008	ACC	68	centimetros
848	REMACOPSE-2018-06-009	ACC	66	centimetros
849	REMACOPSE-2018-06-010	ACC	63	centimetros
850	REMACOPSE-2018-06-011	ACC	65	centimetros
851	REMACOPSE-2018-06-012	ACC	61	centimetros
852	REMACOPSE-2018-06-013	ACC	28	centimetros
853	REMACOPSE-2018-07-003	ACC	68	centimetros
854	REMACOPSE-2018-07-004	ACC	64	centimetros
855	REMACOPSE-2018-07-005	ACC	55	centimetros
856	REMACOPSE-2018-07-006	ACC	60	centimetros
857	REMACOPSE-2018-07-007	ACC	68	centimetros
858	REMACOPSE-2018-07-008	ACC	72	centimetros
859	REMACOPSE-2018-07-009	ACC	46	centimetros
860	REMACOPSE-2018-07-010	ACC	72	centimetros
861	REMACOPSE-2018-07-011	ACC	67	centimetros
862	REMACOPSE-2018-07-012	ACC	65	centimetros
863	REMACOPSE-2018-07-013	ACC	55	centimetros
864	REMACOPSE-2018-07-014	ACC	56	centimetros
865	REMACOPSE-2018-07-015	ACC	62	centimetros
866	REMACOPSE-2018-07-016	ACC	54	centimetros
867	REMACOPSE-2018-07-017	ACC	66	centimetros
868	REMACOPSE-2018-07-018	ACC	67	centimetros
869	REMACOPSE-2018-07-019	ACC	68.3	centimetros
870	REMACOPSE-2018-07-020	ACC	48	centimetros
871	REMACOPSE-2018-08-001	ACC	64	centimetros
872	REMACOPSE-2018-08-002	ACC	70	centimetros
873	REMACOPSE-2018-08-003	ACC	54	centimetros
874	REMACOPSE-2018-07-021	ACC	58	centimetros
875	REMACOPSE-2018-08-004	ACC	62	centimetros
876	REMACOPSE-2018-08-005	ACC	54	centimetros
877	REMACOPSE-2018-08-006	ACC	57	centimetros
878	REMACOPSE-2018-08-007	ACC	63	centimetros
879	REMACOPSE-2018-08-009	ACC	69	centimetros
880	REMACOPSE-2018-08-010	ACC	66	centimetros
881	REMACOPSE-2018-08-011	ACC	55	centimetros
882	REMACOPSE-2018-08-012	ACC	55	centimetros
883	REMACOPSE-2018-08-013	ACC	60	centimetros
884	REMACOPSE-2018-09-003	ACC	67	centimetros
885	REMACOPSE-2018-09-004	ACC	63	centimetros
886	REMACOPSE-2018-09-005	ACC	61	centimetros
887	REMACOPSE-2018-09-006	ACC	64	centimetros
888	REMACOPSE-2018-09-007	ACC	48	centimetros
889	REMACOPSE-2018-09-008	ACC	53	centimetros
890	REMACOPSE-2018-09-009	ACC	70	centimetros
891	REMACOPSE-2018-09-010	ACC	68	centimetros
892	REMACOPSE-2018-09-011	ACC	70	centimetros
893	REMACOPSE-2018-09-012	ACC	79	centimetros
894	REMACOPSE-2018-09-013	ACC	62	centimetros
895	REMACOPSE-2018-10-001	ACC	73	centimetros
896	REMACOPSE-2018-10-002	ACC	71	centimetros
897	REMACOPSE-2018-10-003	ACC	64	centimetros
898	REMACOPSE-2018-10-004	ACC	69	centimetros
899	REMACOPSE-2018-10-005	ACC	63	centimetros
900	REMACOPSE-2018-10-006	ACC	59	centimetros
901	REMACOPSE-2018-10-007	ACC	78	centimetros
902	REMACOPSE-2018-10-008	ACC	65	centimetros
903	REMACOPSE-2018-10-009	ACC	65	centimetros
904	REMACOPSE-2018-10-010	ACC	70	centimetros
905	REMACOPSE-2018-11-003	ACC	70	centimetros
906	REMACOPSE-2018-11-004	ACC	59	centimetros
907	REMACOPSE-2018-11-005	ACC	64	centimetros
908	REMACOPSE-2018-11-006	ACC	26	centimetros
909	REMACOPSE-2018-11-007	ACC	59	centimetros
910	REMACOPSE-2018-11-008	ACC	69	centimetros
911	REMACOPSE-2018-11-009	ACC	26	centimetros
912	REMACOPSE-2018-11-010	ACC	66	centimetros
913	REMACOPSE-2018-11-011	ACC	70	centimetros
914	REMACOPSE-2018-11-012	ACC	69	centimetros
915	REMACOPSE-2018-11-013	ACC	59	centimetros
916	REMACOPSE-2018-11-014	ACC	58	centimetros
917	REMACOPSE-2018-11-015	ACC	73	centimetros
918	REMACOPSE-2018-12-005	ACC	46	centimetros
919	REMACOPSE-2018-12-006	ACC	48.5	centimetros
920	REMACOPSE-2018-11-016	ACC	63	centimetros
921	REMACOPSE-2018-12-007	ACC	68	centimetros
922	REMACOPSE-2018-12-008	ACC	37	centimetros
923	REMACOPSE-2018-12-009	ACC	68	centimetros
924	REMACOPSE-2018-12-010	ACC	45	centimetros
925	REMACOPSE-2018-12-011	ACC	73	centimetros
926	REMACOPSE-2018-12-012	ACC	36	centimetros
927	REMACOPSE-2018-12-013	ACC	62	centimetros
928	REMACOPSE-2018-12-014	ACC	32	centimetros
929	REMACOPSE-2018-12-015	ACC	65	centimetros
930	REMACOPSE-2018-12-016	ACC	66	centimetros
931	REMACOPSE-2018-11-017	ACC	73	centimetros
932	REMACOPSE-2017-05-001	LT	275	centimetros
933	REMACOPSE-2017-05-002	LT	293	centimetros
934	REMACOPSE-2017-05-003	LT	173	centimetros
935	REMACOPSE-2017-06-001	LT	175	centimetros
936	REMACOPSE-2017-07-001	LT	430	centimetros
937	REMACOPSE-2017-07-002	LT	150	centimetros
938	REMACOPSE-2017-07-003	LT	216	centimetros
939	REMACOPSE-2017-08-001	LT	244	centimetros
940	REMACOPSE-2017-08-002	LT	245	centimetros
941	REMACOPSE-2017-08-003	LT	240	centimetros
942	REMACOPSE-2017-08-004	LT	157	centimetros
943	REMACOPSE-2017-08-005	LT	240	centimetros
944	REMACOPSE-2017-08-006	LT	290	centimetros
945	REMACOPSE-2017-08-007	LT	190	centimetros
946	REMACOPSE-2017-09-001	LT	290	centimetros
947	REMACOPSE-2017-09-002	LT	190	centimetros
948	REMACOPSE-2017-09-003	LT	230	centimetros
949	REMACOPSE-2017-09-004	LT	250	centimetros
950	REMACOPSE-2017-09-005	LT	187	centimetros
951	REMACOPSE-2017-10-001	LT	220	centimetros
952	REMACOPSE-2017-10-002	LT	282	centimetros
953	REMACOPSE-2017-10-003	LT	218	centimetros
954	REMACOPSE-2017-10-004	LT	280	centimetros
955	REMACOPSE-2017-10-005	LT	280	centimetros
956	REMACOPSE-2017-10-006	LT	185	centimetros
957	REMACOPSE-2017-11-001	LT	210	centimetros
958	REMACOPSE-2017-11-002	LT	219	centimetros
959	REMACOPSE-2017-11-003	LT	235	centimetros
960	REMACOPSE-2017-11-004	LT	256	centimetros
961	REMACOPSE-2017-11-005	LT	215	centimetros
962	REMACOPSE-2017-11-006	LT	270	centimetros
963	REMACOPSE-2017-12-001	LT	232	centimetros
964	REMACOPSE-2017-12-002	LT	255	centimetros
965	REMACOPSE-2017-05-001	LC	228	centimetros
966	REMACOPSE-2017-05-002	LC	247	centimetros
967	REMACOPSE-2017-05-003	LC	163	centimetros
968	REMACOPSE-2017-06-001	LC	150	centimetros
969	REMACOPSE-2017-07-002	LC	121	centimetros
970	REMACOPSE-2017-07-003	LC	151	centimetros
971	REMACOPSE-2017-08-001	LC	206	centimetros
972	REMACOPSE-2017-08-002	LC	200	centimetros
973	REMACOPSE-2017-08-003	LC	225	centimetros
974	REMACOPSE-2017-08-005	LC	189	centimetros
975	REMACOPSE-2017-08-006	LC	230	centimetros
976	REMACOPSE-2017-08-007	LC	165	centimetros
977	REMACOPSE-2017-09-001	LC	230	centimetros
978	REMACOPSE-2017-09-002	LC	165	centimetros
979	REMACOPSE-2017-09-003	LC	187	centimetros
980	REMACOPSE-2017-09-004	LC	210	centimetros
981	REMACOPSE-2017-09-005	LC	151	centimetros
982	REMACOPSE-2017-10-001	LC	180	centimetros
983	REMACOPSE-2017-10-002	LC	240	centimetros
984	REMACOPSE-2017-10-003	LC	174	centimetros
985	REMACOPSE-2017-10-004	LC	230	centimetros
986	REMACOPSE-2017-10-005	LC	230	centimetros
987	REMACOPSE-2017-10-006	LC	152	centimetros
988	REMACOPSE-2017-11-001	LC	185	centimetros
989	REMACOPSE-2017-11-002	LC	159	centimetros
990	REMACOPSE-2017-11-003	LC	197	centimetros
991	REMACOPSE-2017-11-004	LC	225	centimetros
992	REMACOPSE-2017-11-005	LC	149	centimetros
993	REMACOPSE-2017-11-006	LC	216	centimetros
994	REMACOPSE-2017-12-002	LC	229	centimetros
995	REMACOPSE-TM-2017-01-001	LCC	63	centimetros
996	REMACOPSE-TM-2017-01-002	LCC	62	centimetros
997	REMACOPSE-TM-2017-01-003	LCC	58	centimetros
998	REMACOPSE-TM-2017-01-004	LCC	61	centimetros
999	REMACOPSE-TM-2017-01-005	LCC	61	centimetros
1000	REMACOPSE-TM-2017-02-001	LCC	58	centimetros
1001	REMACOPSE-TM-2017-02-002	LCC	65	centimetros
1002	REMACOPSE-TM-2017-02-003	LCC	67	centimetros
1003	REMACOPSE-TM-2017-02-004	LCC	60	centimetros
1004	REMACOPSE-TM-2017-02-005	LCC	68	centimetros
1005	REMACOPSE-TM-2017-02-006	LCC	91	centimetros
1006	REMACOPSE-TM-2017-03-001	LCC	60	centimetros
1007	REMACOPSE-TM-2017-05-003	LCC	62	centimetros
1008	REMACOPSE-TM-2017-05-004	LCC	32	centimetros
